alias,feature
F01,GyroscopeZ_spectral_entropy
F02,GyroscopeZ_dominant_amp
F03,MagnetometerY_range
F04,AccelerometerZ_rms
F05,AccelerometerY_dominant_amp
F06,GyroscopeY_median
F07,GyroscopeY_q75
F08,AccelerometerX_rms
F09,GyroMagnitude_std
F10,AccelerometerZ_max
F11,GyroscopeZ_rms
F12,MagnetometerX_range
F13,GyroscopeY_rms
F14,GyroscopeZ_zero_crossings
F15,AccelerometerX_energy
F16,AccelerometerX_zero_crossings
F17,MagnetometerY_q25
F18,GyroscopeY_std
F19,AccelerometerZ_energy
F20,AccMagnitude_mean
F21,MagnetometerY_max
F22,AccelerometerX_spectral_energy
F23,GyroMagnitude_max
F24,AccelerometerX_min
F25,MagnetometerX_median
F26,AccelerometerX_max
F27,MagnetometerY_min
F28,GyroscopeY_spectral_entropy
F29,AccelerometerX_spectral_entropy
F30,GyroscopeX_spectral_entropy
F31,AccelerometerZ_dominant_amp
F32,GyroscopeY_energy
F33,GyroscopeZ_median
F34,MagnetometerZ_q25
F35,GyroscopeX_dominant_freq
F36,AccelerometerZ_mean
F37,AccelerometerZ_q75
F38,MagnetometerZ_energy
F39,GyroscopeZ_std
