metric,model_1,model_2,mean_1,mean_2,mean_diff_1_minus_2,p_value,effect_size_cliffs_delta,test_used
test_auc,Logistic Regression (tuned),SVM (RBF),0.8708234116647339,0.857336314908838,0.013487096755895841,0.67877197265625,0.0044444444444444444,wilcoxon
test_auc,Logistic Regression (tuned),XGBoost (tuned),0.8708234116647339,0.8753181940429038,-0.004494782378170166,0.76153564453125,0.022222222222222223,wilcoxon
test_auc,SVM (RBF),XGBoost (tuned),0.857336314908838,0.8753181940429038,-0.017981879134066008,0.52447509765625,0.013333333333333334,wilcoxon
test_accuracy,Logistic Regression (tuned),SVM (RBF),0.7932213788807992,0.8049383186004155,-0.011716939719616218,0.43251256882457256,-0.07555555555555556,wilcoxon
test_accuracy,Logistic Regression (tuned),XGBoost (tuned),0.7932213788807992,0.802171351460877,-0.008949972580077585,0.4703377962613965,-0.08444444444444445,wilcoxon
test_accuracy,SVM (RBF),XGBoost (tuned),0.8049383186004155,0.802171351460877,0.002766967139538634,0.93408203125,0.013333333333333334,wilcoxon
test_f1,Logistic Regression (tuned),SVM (RBF),0.8183774907410778,0.827949977367181,-0.009572486626103327,0.48870849609375,-0.08444444444444445,wilcoxon
test_f1,Logistic Regression (tuned),XGBoost (tuned),0.8183774907410778,0.82446086535618,-0.006083374615102385,0.42120361328125,-0.057777777777777775,wilcoxon
test_f1,SVM (RBF),XGBoost (tuned),0.827949977367181,0.82446086535618,0.0034891120110009427,1.0,0.057777777777777775,wilcoxon
